target,cell_line,cell_line_idx,run_idx,seed,total_generated,valid_num,unique_num,novel_num,source_ligand_count,valid_rate,unique_rate,novel_rate,diversity,intdivp,max_tanimoto,tanimoto_pair_count,qed,sa,logp,lipinski,mw
AURKB,MCF7,9,9,51,100,97,90,4,2068,97.0,92.78350515463917,4.444444444444445,0.8810541751968366,0.6907042806687662,1.0,200596,0.5264753864292949,3.1635494654889764,4.144650000000003,0.75,422.54350000000005
CTSK,MCF7,9,0,42,100,100,98,11,1561,100.0,98.0,11.224489795918368,0.8663918880449171,0.6849650324109857,0.42105263157894735,156100,0.538374909141946,3.9576580245736155,3.435896363636366,0.6363636363636364,461.8473636363638
CTSK,MCF7,9,1,43,100,99,96,16,1561,99.0,96.96969696969697,16.666666666666668,0.8712975791265941,0.710282812099306,0.4262295081967213,154539,0.48845357686783686,3.91309468744419,3.928202500000003,0.4375,503.30350000000016
CTSK,MCF7,9,2,44,100,99,95,13,1561,99.0,95.95959595959596,13.68421052631579,0.8652944226128179,0.6896010433799026,0.36065573770491804,154539,0.6054198766801557,3.2618059528787846,3.522473846153848,0.6923076923076923,441.12969230769244
CTSK,MCF7,9,3,45,100,99,95,12,1561,99.0,95.95959595959596,12.631578947368421,0.8743511578687554,0.7019761261189386,0.3469387755102041,154539,0.46363694367214375,3.8551026701134203,3.605221666666669,0.4166666666666667,506.7965833333335
CTSK,MCF7,9,4,46,100,98,95,13,1561,98.0,96.93877551020408,13.68421052631579,0.8747953786272085,0.7111574342170398,0.3902439024390244,152978,0.5510561642201363,4.016059471041562,3.7802069230769257,0.6153846153846154,481.6441538461541
CTSK,MCF7,9,5,47,100,99,98,5,1561,99.0,98.98989898989899,5.1020408163265305,0.8694432705603261,0.7407649046798646,0.4262295081967213,154539,0.5992603972308099,3.4061919545909656,2.4606880000000015,0.8,430.1278000000002
CTSK,MCF7,9,6,48,100,98,96,7,1561,98.0,97.95918367346938,7.291666666666667,0.8656182736478251,0.6996356565221037,0.42857142857142855,152978,0.38927513721672313,4.006423610840003,4.354625714285718,0.2857142857142857,577.6742857142859
CTSK,MCF7,9,7,49,100,98,96,8,1561,98.0,97.95918367346938,8.333333333333334,0.8685393089920705,0.7148054372629552,0.45652173913043476,152978,0.512090224264448,3.806247314803665,4.5349100000000035,0.375,533.6815000000001
CTSK,MCF7,9,8,50,100,98,96,12,1561,98.0,97.95918367346938,12.5,0.8729156567291201,0.7168133018242555,0.40298507462686567,152978,0.4992946549141542,3.643720286901921,4.02736666666667,0.3333333333333333,504.2724166666669
CTSK,MCF7,9,9,51,100,98,96,8,1561,98.0,97.95918367346938,8.333333333333334,0.8703756739280833,0.6998874115014267,0.4262295081967213,152978,0.5453673494335967,3.2783282993596363,3.554760000000002,0.5,402.0568750000001
EGFR,MCF7,9,0,42,100,98,98,6,2246,98.0,100.0,6.122448979591836,0.8847154221683594,0.6904289838603342,0.6346153846153846,220108,0.4504319890857797,4.004838831640648,3.533253333333336,0.6666666666666666,547.3338333333335
EGFR,MCF7,9,1,43,100,99,99,12,2246,99.0,100.0,12.121212121212121,0.879013699547724,0.7195230612599743,0.8059701492537313,222354,0.4542551612034498,4.099611809398873,3.5375350000000028,0.4166666666666667,537.8202500000002
EGFR,MCF7,9,2,44,100,100,97,9,2246,100.0,97.0,9.278350515463918,0.8669455195245686,0.6759429362762136,0.5116279069767442,224600,0.541912297362262,3.9454216405056064,3.558600000000003,0.4444444444444444,479.4343333333335
EGFR,MCF7,9,3,45,100,99,97,11,2246,99.0,97.97979797979798,11.34020618556701,0.8803067973542644,0.680807039283783,0.41818181818181815,222354,0.5544898026487715,4.1791613809878525,3.4239309090909114,0.5454545454545454,516.9414545454548
EGFR,MCF7,9,4,46,100,99,99,8,2246,99.0,100.0,8.080808080808081,0.8739758328686751,0.6996535455885211,0.7875,222354,0.4399686908229268,4.121987343270593,3.5117187500000044,0.375,551.8827500000002
EGFR,MCF7,9,5,47,100,100,99,2,2246,100.0,99.0,2.0202020202020203,0.8710700343236082,0.7135055754109727,0.7391304347826086,224600,0.3789002109834616,3.6649721726356264,3.824620000000002,0,567.6425000000004
EGFR,MCF7,9,6,48,100,99,95,9,2246,99.0,95.95959595959596,9.473684210526315,0.8707339442323769,0.6962280898013607,1.0,222354,0.4910932899856145,3.6413892556329457,4.330095555555559,0.3333333333333333,515.1173333333335
EGFR,MCF7,9,7,49,100,99,95,4,2246,99.0,95.95959595959596,4.2105263157894735,0.8724176091480624,0.716292044878105,0.6727272727272727,222354,0.5423056831050593,3.587432071865571,4.349995000000003,0.5,488.1342500000002
EGFR,MCF7,9,8,50,100,99,99,12,2246,99.0,100.0,12.121212121212121,0.8768079971254767,0.7008221986086982,1.0,222354,0.488290771478383,3.7879329651860782,4.2397500000000035,0.16666666666666666,529.5131666666668
EGFR,MCF7,9,9,51,100,98,97,11,2246,98.0,98.9795918367347,11.34020618556701,0.8701085125328819,0.7043643463093142,1.0,220108,0.6303757019282632,4.007621113701089,2.751532727272729,0.6363636363636364,459.64400000000023
HDAC1,MCF7,9,0,42,100,94,93,4,988,94.0,98.93617021276596,4.301075268817204,0.8936611396506479,0.7243716565819935,0.84375,92872,0.592595767291442,2.651239916933445,3.4647500000000018,0.75,397.2025000000001
HDAC1,MCF7,9,1,43,100,97,95,6,988,97.0,97.9381443298969,6.315789473684211,0.8889958734979878,0.6962703740686033,0.6172839506172839,95836,0.4022267363858923,3.3923322556843867,3.8139866666666693,0.3333333333333333,502.4965000000002
HDAC1,MCF7,9,2,44,100,92,89,9,988,92.0,96.73913043478261,10.112359550561798,0.8855968830583657,0.7017485428411826,0.84375,90896,0.5818902996414903,3.216277746588604,3.0416800000000013,0.7777777777777778,419.6383333333335
HDAC1,MCF7,9,3,45,100,97,93,8,988,97.0,95.87628865979381,8.602150537634408,0.8928949911262679,0.7375664532437819,0.6904761904761905,95836,0.5171704317052693,3.4842474262810446,3.9226475000000027,0.5,486.93550000000016
HDAC1,MCF7,9,4,46,100,94,88,8,988,94.0,93.61702127659575,9.090909090909092,0.8914352011445966,0.7352707909248019,0.7872340425531915,92872,0.5539398917119293,3.7325104989834634,2.7548362500000034,0.5,447.5338750000001
HDAC1,MCF7,9,5,47,100,99,91,2,988,99.0,91.91919191919192,2.197802197802198,0.8899220712009014,0.708714762897439,0.7872340425531915,97812,0.6148107690942874,3.2357901886455,5.210000000000004,0.5,459.13850000000025
HDAC1,MCF7,9,6,48,100,100,97,5,988,100.0,97.0,5.154639175257732,0.8891118915335255,0.7224393946201756,0.7872340425531915,98800,0.4120723902932606,3.495832618592754,4.739348000000004,0.2,514.2434000000002
