[Cl-].[Cl-].[Cl-].[Cr+3],DB09129,Chromic chloride
COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,DB09080,Olodaterol
CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1,DB11855,Revefenacin
CN1Cc2c(Cl)cc(Cl)cc2[C@H](c2cccc(S(=O)(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCCOCCOCCNS(=O)(=O)c3cccc([C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc54)c3)c2)C1,DB11761,Tenapanor
Oc1ncnc2[nH]ncc12,DB00437,Allopurinol
[Na+].[Na+].[O-][Si]1([O-])O[Si]([O-])([O-])O[Si]([O-])([O-])O1.[Zr],DB14048,Sodium zirconium cyclosilicate
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,DB04854,Febuxostat
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,DB00444,Teniposide
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,DB00343,Diltiazem
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,DB08877,Ruxolitinib
COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,DB08931,Riociguat
O.O.O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Na+].[Na+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-],DB09146,Iron sucrose
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,DB00243,Ranolazine
O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1,DB16236,Mitapivat
COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,DB09296,Ombitasvir
Brc1c(NC2=NCCN2)ccc2nccnc12,DB00484,Brimonidine
Cn1c(=O)c2[nH]cnc2n(C)c1=O,DB00277,Theophylline
CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21,DB15102,Pemigatinib
CC(=O)NCCCS(=O)(=O)O,DB00659,Acamprosate
